Word,Polarity,Intensity,SubjectivityType,SubjectivityPolarity
독자,NEG,Medium,Judgment,NEG
독점,NEG,Medium,Judgment,NEUT
독특,POS,Medium,Judgment,POS
독특하,POS,Medium,Judgment,POS
돈,NEUT,Medium,Judgment,POS
돋보이,POS,Medium,Judgment,POS
돌,NEUT,High,Judgment,POS
돌리,NEG,Medium,Judgment,NEG
돌리어,NEG,Medium,Judgment,NEG
돌아가,NEG,Medium,Argument,POS
돌아서,NEG,Medium,Judgment,NEG
돌아오,NEUT,Low,Judgment,POS
돌아오았,NEUT,Low,Argument,POS
돌아오지,NEG,Low,Judgment,NEG
돕,POS,Medium,Judgment,POS
돕게,POS,Medium,Judgment,POS
동,NEG,High,Emotion,NEG
동그렇,NEG,High,Emotion,NEG
동료,POS,Medium,Argument,POS
동무,NEG,Medium,Argument,POS
동물,NEUT,Medium,Argument,POS
동시,POS,Medium,Judgment,POS
동아리,POS,Medium,Argument,POS
동안,NEG,Medium,Argument,POS
동요,NEG,Medium,Judgment,NEG
동의,POS,Low,Judgment,POS
동이,NEG,High,Argument,POS
동작,POS,Medium,Judgment,POS
동참,POS,Medium,Judgment,POS
동포,POS,Medium,Judgment,POS
되,NEG,Medium,Judgment,POS
된,POS,Medium,Argument,POS
되는,NEG,Medium,Judgment,POS
될,NEG,Medium,Judgment,NEG
되어,NEG,Medium,Argument,POS
되었,POS,Medium,Judgment,POS
되게,POS,Medium,Judgment,POS
되고토하,NEUT,Medium,Argument,POS
되돌아보,COMP,Medium,Judgment,COMP
되살리,POS,Medium,Judgment,POS
되찾,POS,Medium,Judgment,POS
두,NEG,High,Judgment,NEG
두고,NEG,High,Judgment,NEG
두드러지,NEUT,High,Judgment,NEUT
두렵,NEG,Medium,Emotion,NEUT
두르,POS,Low,Argument,POS
둔갑,NEG,Medium,Judgment,NEG
둘,NEUT,Medium,Argument,POS
뒤,POS,Low,Argument,POS
뒷맛,NEG,Medium,Emotion,NEG
뒷받침,NEG,High,Judgment,NEG
드디어,NONE,None,Others,POS
드러나,NEG,High,Judgment,NEG
드러내,NEG,Medium,Judgment,NEG
드물,COMP,Medium,Judgment,COMP
득세,POS,Medium,Judgment,POS
든,POS,High,Judgment,POS
든지,NEUT,Medium,Argument,POS
듣,NEG,Medium,Argument,POS
듣었,NEG,Medium,Argument,POS
들,POS,Medium,Argument,POS
들어,NEG,Medium,Argument,POS
들어주,NEG,Medium,Argument,POS
들의고달프,POS,Medium,Argument,POS
들이,POS,Medium,Argument,POS
들리,POS,Medium,Judgment,POS
들린,POS,Medium,Judgment,POS
들어가,POS,Medium,Argument,POS
들어가는,POS,Medium,Argument,POS
들어오,POS,Low,Judgment,POS
들어오는,NEUT,Low,Argument,POS
듬뿍,POS,High,Judgment,POS
듯,POS,Medium,Judgment,POS
듯가파르,NEG,Medium,Argument,POS
듯하,NEUT,Low,Judgment,POS
등,POS,Medium,Argument,POS
등디테일,NEUT,Low,Argument,POS
등급,NEG,High,Agreement,NEG
등록,POS,Low,Argument,POS
등산,POS,Medium,Argument,POS
디,NEG,Medium,Judgment,NEG
디스크,NEG,Medium,Judgment,NEG
디자이너,NEUT,Low,Argument,POS
디테일,NEUT,Low,Argument,POS
따뜻하,POS,Medium,Judgment,POS
따뜻한,POS,Medium,Judgment,POS
따라가,POS,Medium,Agreement,POS
따라서,NONE,None,Others,POS
따로,NEUT,Medium,Argument,POS
따르,POS,Medium,Argument,POS
따리,NEG,High,Argument,POS
따위,NEG,Low,Others,POS
따지,POS,Medium,Judgment,POS
딱하,NEG,Low,Emotion,NEG
딸,NEG,Medium,Argument,POS
땀,NEG,High,Judgment,NEG
땅,NEG,Medium,Judgment,NEG
때,NEUT,Medium,Argument,POS
때때로,NEG,Medium,Argument,POS
때문,NONE,Medium,Judgment,POS
떠나,POS,Medium,Argument,POS
떠난,NEUT,Low,Argument,POS
떠나지,POS,Medium,Argument,POS
떠들,NEG,Medium,Judgment,NEG
떠들어,NEG,Medium,Judgment,NEG
떠오르,POS,Medium,Judgment,POS
떡,POS,Medium,Argument,POS
떨,POS,Medium,Judgment,POS
떨리,COMP,Medium,Emotion,COMP
떨어지,POS,High,Judgment,POS
떨어진,POS,Medium,Judgment,POS
떼,NEUT,Medium,Judgment,POS
또,NEG,Medium,Judgment,POS
또는,POS,Medium,Judgment,POS
또래,POS,Medium,Argument,POS
또한,NONE,None,Others,POS
똑같,NEG,Medium,Argument,POS
똑바로,NEG,High,Argument,POS
뚝,NEUT,Medium,Judgment,NEUT
뚝떼,NEUT,Medium,Judgment,NEUT
뚫,POS,Medium,Judgment,POS
뚫고,POS,Medium,Intention,POS
뛰,POS,High,Emotion,POS
뛰어들,POS,Medium,Argument,POS
뛰어나,POS,High,Judgment,POS
뛰어난,POS,High,Judgment,POS
뛰어넘,POS,Medium,Judgment,POS
뛰어다니,NEG,High,Argument,POS
뛰어다닌,NEG,High,Argument,POS
뜨,COMP,Medium,Judgment,COMP
뜬,COMP,Medium,Judgment,COMP
뜬눈,COMP,Medium,Judgment,COMP
뜨겁,POS,Medium,Judgment,POS
뜻,POS,Medium,Intention,POS
뜻하,POS,Medium,Argument,POS
띄,POS,Medium,Judgment,POS
띄게,POS,High,Judgment,POS
라,NONE,None,Others,POS
라는,NEG,Medium,Others,POS
라고,NEG,Medium,Argument,POS
라니,NONE,None,Emotion,NEG
라니까,NEG,Medium,Argument,POS
라도,NONE,None,Others,POS
라며,NEG,Medium,Argument,POS
라면,NEG,Medium,Argument,POS
라우,NEG,Medium,Argument,POS
란,NEG,Medium,Argument,POS
러,NEUT,Low,Judgment,NEUT
러브,NEUT,Low,Argument,POS
러브스토리,NEUT,Low,Argument,POS
레크리에이션,POS,Medium,Judgment,POS
려,POS,Low,Intention,POS
려고,NONE,None,Intention,POS
려는,POS,Medium,Intention,POS
려다,NONE,None,Intention,POS
려면,NONE,None,Others,POS
로,POS,Medium,Judgment,POS
로꽃,POS,Medium,Judgment,POS
로남,NEG,Medium,Judgment,NEG
로는,NEG,Low,Argument,POS
로보,NEG,Medium,Judgment,NEG
로삼,POS,Medium,Judgment,POS
로서,NEG,Low,Judgment,NEUT
로치,NONE,None,Others,POS
로하,POS,Medium,Intention,POS
로하았,POS,Medium,Intention,POS
로부터,NEG,Medium,Argument,POS
롭,POS,Medium,Judgment,POS
률,NEG,Medium,Argument,POS
를,POS,Medium,Judgment,POS
를걸,POS,Medium,Judgment,POS
를끈끈,NEG,Medium,Argument,POS
를끌,POS,Medium,Judgment,POS
를내,POS,Medium,Agreement,POS
를담,NEUT,Low,Argument,POS
를더,NEG,Medium,Emotion,POS
를매끄럽,POS,Medium,Judgment,POS
를맴돌,NEG,Medium,Judgment,NEG
를못,NEG,Medium,Judgment,NEG
를못잡,NEG,Medium,Judgment,NEG
를물,NEG,Medium,Speculation,POS
를범하,NEG,High,Judgment,NEG
를베풀,POS,Medium,Judgment,POS
를보,POS,Medium,Judgment,POS
를뿜어내,POS,Medium,Judgment,POS
를세,NEG,Medium,Argument,POS
를안,NEG,Medium,Judgment,NEG
를알,POS,High,Judgment,POS
를위하,POS,Medium,Intention,POS
를잡,NEG,Medium,Argument,POS
를절레절레,NEG,Medium,Argument,POS
를절레절레흔들,NEG,Medium,Argument,POS
를제치,POS,Medium,Judgment,POS
를주,POS,Medium,Judgment,POS
를청,POS,Medium,Emotion,POS
를토하,NEG,High,Judgment,NEG
를팔,NEG,Medium,Argument,POS
를풀,POS,Medium,Argument,POS
를하,NEG,Medium,Judgment,NEG
리,NEG,Medium,Judgment,NEUT
리가,NEG,Medium,Judgment,NEG
리듬,POS,Medium,Judgment,POS
리라,NONE,None,Judgment,POS
리란,POS,High,Argument,POS
마,POS,Medium,Argument,POS
마감,NEG,Medium,Argument,POS
마냥,POS,Medium,Judgment,POS
마다,NEUT,Medium,Judgment,POS
마당,POS,Medium,Argument,POS
마땅,POS,High,Judgment,POS
마땅하,POS,High,Judgment,POS
마련,NEG,Low,Judgment,POS
마렵,NEG,Medium,Judgment,NEG
마리산,POS,High,Judgment,POS
마비,NEUT,Medium,Argument,POS
마시,NEG,Medium,Judgment,NEG
마약,NEG,High,Judgment,NEG
마음,POS,Medium,Judgment,POS
마음대로,POS,Low,Intention,POS
마음껏,POS,Medium,Emotion,POS
마음먹,NEUT,Low,Argument,POS
마인드,POS,Medium,Judgment,POS
마저,NONE,None,Judgment,POS
마주치,NEG,Low,Argument,POS
마주친,NEG,Low,Argument,POS
마지막,POS,Medium,Judgment,POS
마찬가지,NEG,Medium,Judgment,NEG
마침,NONE,None,Others,POS
막,NEUT,Medium,Judgment,POS
막는,POS,Medium,Argument,POS
막아,NEG,Medium,Argument,POS
막대,POS,Medium,Judgment,POS
막막,NEG,Medium,Argument,POS
막중,POS,Medium,Judgment,POS
막히,POS,Medium,Judgment,POS
막힌,POS,Medium,Judgment,POS
만,NONE,Medium,Judgment,POS
만남,NEG,High,Judgment,NEG
만도,POS,Medium,Judgment,POS
만보,NEG,High,Judgment,NEG
만으로,POS,High,Emotion,POS
만은,NEUT,Medium,Judgment,POS
만을,NEUT,Medium,Judgment,NEUT
만이,NEG,Medium,Argument,POS
만이라도,NEG,Medium,Argument,POS
만일삼,NEG,Low,Judgment,NEG
만하,NONE,None,Judgment,POS
만원,NEUT,Medium,Judgment,NEUT
만나,POS,Medium,Judgment,POS
만날,POS,Medium,Judgment,POS
만능,POS,Medium,Judgment,POS
만들,POS,Medium,Judgment,POS
만들어,POS,Medium,Judgment,POS
만들었,POS,Medium,Argument,POS
만물,POS,Medium,Argument,POS
만족,NEG,Medium,Judgment,NEG
만족하,NEG,Medium,Judgment,NEG
만족하지,NEG,Medium,Judgment,NEG
만지어,NEG,Medium,Argument,POS
만큼,NONE,None,Others,POS
만큼도,POS,Low,Judgment,POS
만화,POS,Medium,Judgment,POS
많,NEG,Medium,Judgment,POS
많고,POS,Medium,Argument,POS
많다,NEUT,High,Argument,POS
많아,NEG,High,Judgment,NEUT
많아지,NEG,High,Judgment,NEG
많은,NEG,Medium,Judgment,NEG
많지,NEG,Medium,Judgment,NEG
많이,NEG,Low,Argument,POS
말,NEG,Medium,Argument,POS
말로,NEG,Low,Judgment,NEUT
말할,NEG,High,Judgment,NEG
말고,NEUT,Medium,Argument,POS
말리,POS,Medium,Argument,POS
말린,POS,Medium,Argument,POS
말문,NEG,Medium,Judgment,NEG
말씀,POS,Medium,Judgment,POS
맛,POS,Medium,Argument,POS
맛있,NEUT,Medium,Argument,POS
맛보,NEUT,High,Emotion,NEUT
맛볼,POS,High,Judgment,POS
맛있는,NEG,Medium,Argument,POS
망동,NEG,High,Judgment,NEG
망령,NEG,High,Judgment,NEG
망상,NEG,High,Judgment,NEG
망설이,NEG,High,Judgment,NEG
망하,NEG,High,Judgment,NEG
맞,POS,Medium,Judgment,POS
맞게,NEG,High,Judgment,NEG
맞아,POS,High,Judgment,POS
맞지,NEG,Medium,Agreement,NEG
맞서,NEG,Medium,Argument,POS
맞서자,NEG,Medium,Argument,POS
맞추,POS,Medium,Judgment,POS
맞추는,POS,Medium,Argument,POS
매기,COMP,Medium,Judgment,COMP
매끄럽,POS,Medium,Judgment,POS
매끄럽게하,POS,Medium,Judgment,POS
매끈,POS,Medium,Judgment,POS
매끈하,POS,Medium,Judgment,POS
매니아,POS,Medium,Argument,POS
매달리,NEG,Medium,Argument,POS
매달리어,NEG,Medium,Argument,POS
매력,POS,Medium,Judgment,POS
매우,POS,High,Judgment,POS
매일,NEG,Low,Argument,POS
매혹,POS,High,Judgment,POS
맥,NEUT,High,Judgment,NEUT
맴돌,NEG,Medium,Judgment,NEG
맹종,NEG,High,Agreement,POS
맹종하,NEG,High,Agreement,POS
맺,NEUT,Medium,Judgment,NEUT
맺었,NEG,Medium,Judgment,NEG
머리,NEG,Low,Argument,POS
머무르,NEG,High,Judgment,NEG
먹,NEG,Medium,Argument,POS
먹고,NEG,Medium,Argument,POS
먹고살,NEG,Medium,Argument,POS
먹는,NEG,Low,Argument,POS
먹이,NEG,Medium,Judgment,NEG
먼저,POS,Medium,Judgment,POS
멀,NEG,Medium,Judgment,NEG
멀어,NEG,Medium,Judgment,NEG
멀어지,NEG,Medium,Judgment,NEG
메시지,POS,Medium,Argument,POS
메우,POS,Medium,Judgment,POS
며,NEG,Medium,Argument,POS
며하,NEG,Medium,Argument,POS
면,POS,Medium,Argument,POS
면작,NEG,Medium,Argument,POS
면한,NEG,Medium,Argument,POS
면모,POS,Low,Judgment,POS
면서,POS,Medium,Judgment,POS
면서도,POS,High,Judgment,POS
면적,POS,Low,Judgment,POS
면허,POS,Low,Argument,POS
명,NEG,Medium,Judgment,NEG
명백,NEG,Medium,Judgment,NEG
명백히,NEG,High,Judgment,NEG
명분,POS,Medium,Argument,POS
명성,POS,Medium,Judgment,POS
명소,POS,High,Judgment,POS
명시,NEG,Medium,Judgment,NEG
명예,NEG,Medium,Judgment,NEG
명인,POS,Medium,Judgment,POS
명징,POS,Low,Judgment,POS
명징하,POS,Low,Judgment,POS
명찰,POS,Medium,Judgment,POS
몇,NEG,Medium,Judgment,NEG
모델,POS,High,Judgment,POS
모두,POS,Medium,Argument,POS
모든,POS,Medium,Argument,POS
모르,NEG,Low,Speculation,NEUT
모방,POS,Low,Judgment,POS
모색,POS,Medium,Agreement,POS
모순,NEG,Medium,Argument,POS
모습,NEG,Medium,Argument,POS
모으,POS,Medium,Judgment,POS
모은,POS,Medium,Judgment,POS
모이,NEG,Low,Argument,POS
모인,NEUT,Low,Argument,POS
모이어,NEG,Medium,Argument,POS
모자라,NEG,Medium,Judgment,NEG
모집,POS,High,Judgment,POS
모처럼,NONE,None,Judgment,POS
모험,NEG,Medium,Judgment,NEG
모호,NEG,Medium,Judgment,NEG
목,POS,Medium,Emotion,NEG
목메,NEG,Medium,Emotion,NEG
목소리,POS,Medium,Emotion,POS
목숨,NEG,High,Judgment,NEG
목적,POS,Medium,Intention,POS
목표,POS,Medium,Intention,POS
몰두,POS,High,Intention,POS
몰락,NEG,Medium,Judgment,NEG
몰리,POS,Medium,Argument,POS
몸,NEG,Medium,Emotion,NEG
몸을꼬,NEG,Medium,Emotion,NEG
몸살,POS,Medium,Argument,POS
몹시,NEG,Medium,Argument,POS
못,NEG,Medium,Judgment,POS
못하,NEG,Medium,Judgment,NEG
못내,NEG,Medium,Emotion,NEG
못마땅,NEG,Medium,Judgment,NEG
못하았,NEG,Medium,Emotion,NEUT
못하았던,NEG,High,Emotion,NEG
몽골,POS,Medium,Intention,POS
묘하,POS,Medium,Judgment,POS
무,NEG,Medium,Judgment,NEG
무방비,NEG,Medium,Judgment,NEG
무의미,NEG,Medium,Judgment,NEG
무의미하,NEG,Medium,Judgment,NEG
무의식,POS,Medium,Judgment,POS
무조건,POS,High,Emotion,POS
무책임,NEG,High,Judgment,NEG
무책임하,NEG,High,Judgment,NEG
무혐의,NEUT,Medium,Judgment,NEUT
무겁,POS,High,Judgment,POS
무게,NEG,High,Argument,POS
무관,NEG,Medium,Argument,POS
무극,POS,Medium,Judgment,POS
무난,POS,Low,Judgment,POS
무늬,NEG,High,Judgment,NEG
무단,NEG,Medium,Judgment,NEG
무대,POS,Low,Judgment,POS
무덤,POS,Medium,Judgment,POS
무려,NONE,None,Others,POS
무례,NEG,Medium,Judgment,NEG
무료,POS,Medium,Judgment,POS
무르익,POS,Medium,Judgment,POS
무릅쓰,NEG,Medium,Judgment,NEG
무리,NEUT,Medium,Judgment,NEUT
무모,NEG,Medium,Judgment,NEG
무산,NEG,Medium,Judgment,NEG
무섭,NEG,Medium,Argument,POS
무슨,NEG,Low,Argument,POS
무심코,NEG,Low,Judgment,NEG
무엇,POS,Medium,Judgment,POS
무용,POS,Medium,Judgment,POS
무척,NEG,High,Judgment,NEG
무효,NEG,Medium,Judgment,NEG
묵,NEUT,Low,Argument,POS
묵은,NEUT,Low,Argument,POS
문,NEG,Low,Judgment,NEUT
문맹,NEG,High,Judgment,NEG
문제,NEG,Medium,Judgment,NEG
문제점,NEG,Medium,Judgment,NEG
문턱,POS,Medium,Judgment,POS
문화,POS,Medium,Judgment,POS
문화재,POS,Medium,Argument,POS
묻,NEG,Medium,Judgment,POS
묻히,NEG,Medium,Judgment,NEG
물,NEG,Medium,Judgment,NEUT
물속,NEG,Medium,Judgment,NEG
물건,POS,Medium,Judgment,POS
물고기,POS,Medium,Judgment,POS
물론,NONE,None,Others,POS
물살,POS,Low,Judgment,POS
물음표,NEG,Medium,Judgment,NEG
물질,POS,Low,Argument,POS
물체,NEUT,Medium,Argument,POS
뭇,NEUT,Low,Argument,POS
뭐,NEUT,Low,Argument,POS
므로,POS,Medium,Argument,POS
미,NEG,Medium,Argument,POS
미국,POS,Medium,Argument,POS
미국인,POS,Medium,Judgment,NEUT
미군,NEG,High,Judgment,NEG
미끄럼,NEG,Medium,Judgment,NEG
미끼,NEG,Medium,Judgment,NEG
미디어,NEG,Medium,Judgment,NEG
미래,POS,Medium,Judgment,POS
미만,NEG,Medium,Judgment,NEG
미숙,NEUT,Medium,Judgment,NEUT
미술,POS,Medium,Judgment,POS
미술상,POS,Medium,Judgment,POS
미워하,POS,Low,Emotion,POS
미워할,POS,Low,Emotion,POS
미제,NEG,Medium,Argument,POS
미지수,NEG,Medium,Speculation,POS
미치,NEG,Medium,Argument,POS
미친,NEG,Medium,Argument,POS
미치었,NEG,Medium,Argument,POS
미학,NEUT,Medium,Judgment,NEUT
미형,POS,High,Judgment,POS
미화원,POS,Medium,Argument,POS
민,POS,Medium,Judgment,POS
민권,POS,Medium,Judgment,POS
민법,NEG,Medium,Argument,POS
민족,NEUT,Medium,Judgment,NEUT
민주,POS,Medium,Judgment,POS
민주주의,NEG,Medium,Judgment,NEG
민중,COMP,Medium,Judgment,COMP
민화,POS,Medium,Judgment,POS
믿,NEG,Medium,Judgment,POS
믿지,NEG,High,Judgment,NEUT
밀가루,POS,Medium,Judgment,POS
밀고,NEG,Medium,Judgment,NEG
밀리,POS,Medium,Judgment,POS
밀린,POS,Medium,Judgment,POS
밑,NEG,Medium,Judgment,NEG
바,NONE,None,Others,POS
바꾸,POS,Medium,Judgment,POS
바꾸고,NEG,Medium,Judgment,NEG
바느질,NEUT,Low,Argument,POS
바늘,NEG,Medium,Judgment,NEG
바닥,POS,Low,Judgment,POS
바닥면적,POS,Low,Judgment,POS
바라,POS,Medium,Argument,POS
바람,POS,Medium,Judgment,POS
바람직하,POS,Medium,Judgment,POS
바람직하지,NEG,Medium,Argument,POS
바로,POS,Medium,Judgment,POS
바보,COMP,Medium,Judgment,COMP
바짓가랑이,NEG,High,Argument,POS
바치,POS,Medium,Argument,POS
바탕,POS,Medium,Argument,POS
박수,POS,Medium,Judgment,POS
박테리아,NEUT,Medium,Argument,POS
박해,NEG,High,Judgment,NEG
밖,NEG,Medium,Argument,POS
밖에,NONE,None,Others,POS
밖에도,NONE,None,Others,POS
반,NEUT,Low,Judgment,NEUT
반의,POS,Low,Judgment,POS
반갑,POS,Medium,Judgment,POS
반대,NEG,Medium,Agreement,NEG
반대편,NEG,Medium,Judgment,NEG
반드시,NEG,Medium,Argument,POS
반론,NEG,Medium,Judgment,NEG
반면,NONE,None,Others,POS
반문,COMP,Medium,Others,POS
반박,NEG,Medium,Agreement,NEG
반발,NEG,Medium,Agreement,NEG
반복,NEG,High,Argument,POS
반성,NEG,Medium,Judgment,NEG
반어,NEUT,Medium,Judgment,NEUT
반영,NEG,High,Judgment,NEG
반영하지,NEG,High,Judgment,NEG
반응,POS,Medium,Argument,POS
반죽,POS,Medium,Judgment,POS
반짝이,POS,Medium,Judgment,POS
반짝이는,POS,Medium,Judgment,POS
반찬,POS,Medium,Judgment,POS
반추,NEUT,Medium,Others,POS
반항,NEUT,Medium,Agreement,NEG
받,POS,Medium,Judgment,POS
받게,NEG,Medium,Judgment,NEG
받겠,NEG,Medium,Argument,POS
받고,NEG,Low,Judgment,POS
받은,NEG,Medium,Judgment,NEG
받지,NEUT,Medium,Judgment,NEG
발,POS,Medium,Intention,POS
발벗,POS,Medium,Intention,POS
발견,POS,Medium,Judgment,POS
발견되,POS,Medium,Judgment,POS
발리,NEG,Low,Judgment,NEG
발린,NEG,Low,Judgment,NEG
발생,NEG,Medium,Judgment,NEG
발언,COMP,Medium,Argument,POS
발전,NEG,Medium,Argument,POS
발전한,NEG,Medium,Argument,POS
발표,POS,Medium,Argument,POS
발현,POS,Medium,Judgment,POS
발휘,POS,Medium,Judgment,POS
발흥,POS,Medium,Judgment,POS
밝,NEG,Medium,Judgment,NEG
밝아,NEUT,Medium,Judgment,NEUT
밝아지,POS,Medium,Judgment,POS
밝지,NEG,Medium,Judgment,NEG
밝히,POS,Medium,Argument,POS
밝힌,POS,Medium,Argument,POS
밝히어,NEG,Medium,Judgment,NEG
밟,NEG,Medium,Judgment,NEG
밤,NEUT,Medium,Judgment,POS
밤길,NEG,Medium,Judgment,NEG
밤낮,NEUT,Medium,Judgment,POS
밥,NEG,Low,Judgment,NEUT
방법,NEUT,Medium,Judgment,NEUT
방불,POS,High,Judgment,POS
방비,NEG,Medium,Judgment,NEG
방송,POS,Medium,Argument,POS
방수,POS,Medium,Judgment,POS
방심,NEG,Medium,Judgment,NEG
방지,NEUT,Medium,Judgment,NEUT
방침,POS,Medium,Intention,POS
배,NEUT,Low,Judgment,POS
배달,POS,Medium,Argument,POS
배반,NEG,Medium,Judgment,NEG
배상,NEG,High,Judgment,NEG
배신,NEG,Medium,Judgment,NEG
배우,POS,Medium,Judgment,POS
배울,NEG,Medium,Judgment,NEG
배창호,NEG,Low,Argument,POS
배척,NEG,Medium,Judgment,NEG
배치,NEG,Medium,Judgment,NEG
배타,NEG,Medium,Judgment,POS
백,NEG,High,Judgment,NEUT
백만,POS,Low,Argument,POS
백일하,NEG,Medium,Judgment,NEG
백천,POS,High,Judgment,POS
백화점,POS,Medium,Argument,POS
밴드,NEG,Medium,Judgment,NEG
버리,NEG,Medium,Judgment,NEUT
버리었,COMP,Medium,Argument,POS
버젓이,NEG,Medium,Judgment,NEG
버튼,POS,Medium,Judgment,POS
버티,NEG,Medium,Argument,POS
버틴,NEG,Medium,Argument,POS
버팀목,POS,Medium,Argument,POS
벅차,NEG,Low,Judgment,NEG
번,NEG,Medium,Argument,POS
번돌,POS,High,Judgment,POS
번만,NEG,Medium,Argument,POS
번들번들,NEG,Medium,Argument,POS
번복,NEG,High,Argument,POS
번식,POS,Medium,Argument,POS
번영,POS,Medium,Judgment,POS
번지,NEG,Medium,Judgment,NEG
번짐,NEG,Medium,Judgment,NEG
번호,POS,Medium,Judgment,POS
벌,POS,Low,Judgment,POS
벌레,NEUT,Low,Argument,POS
벌써,NEG,Medium,Argument,POS
벌어지,NEUT,High,Judgment,NEUT
범인,NEG,Medium,Judgment,NEG
범죄,NEG,High,Judgment,NEG
범하,NEG,High,Judgment,NEG
법,NEG,None,Judgment,NEG
법원,NEG,Medium,Argument,POS
법칙,POS,Medium,Judgment,POS
벗,POS,Medium,Judgment,POS
벗고,POS,Medium,Intention,POS
베로나,POS,Low,Judgment,POS
베풀,POS,Medium,Judgment,POS
벼르,POS,Medium,Intention,POS
벽,POS,Medium,Judgment,POS
벽두,NEG,Medium,Judgment,NEG
벽화,POS,Medium,Judgment,POS
변신,POS,Medium,Judgment,POS
변조,NEG,Medium,Judgment,NEG
변하,POS,Medium,Judgment,POS
변호사,NEG,None,Judgment,NEG
변화,NEG,Medium,Judgment,POS
별,NEUT,Low,Judgment,NEUT
별문제,NEG,Low,Judgment,NEG
별도,POS,Medium,Argument,POS
별로,NEG,Medium,Judgment,POS
별반,POS,Low,Judgment,POS
별빛,POS,Medium,Judgment,POS
병,POS,Low,Judgment,POS
병중,POS,Low,Argument,POS
병기,POS,Medium,Judgment,POS
병들,NEG,Medium,Judgment,NEG
병원,NEG,Medium,Argument,POS
보,POS,Medium,Argument,POS
보면,NEG,Medium,Argument,POS
보았,NEUT,Low,Argument,POS
보고,NEG,High,Intention,POS
보기,POS,Medium,Judgment,POS
보는,NEUT,Medium,Judgment,NEUT
볼,POS,Medium,Judgment,POS
보러,POS,Medium,Argument,POS
보시,NEG,Medium,Argument,POS
보아,NEG,Low,Argument,POS
보지,NEG,Medium,Judgment,NEG
보건,POS,Low,Argument,POS
보내,COMP,Medium,Judgment,COMP
보다,POS,Medium,Judgment,POS
보다는,NONE,None,Others,POS
보다도,NONE,None,Others,POS
보도,NEUT,Low,Argument,POS
보람,POS,Medium,Argument,POS
보복,NEG,Medium,Judgment,NEG
보상,NEG,Low,Argument,POS
보습,POS,Medium,Judgment,POS
보완,POS,High,Judgment,POS
보이,POS,Medium,Judgment,POS
보이어,NEUT,Low,Judgment,NEUT
보이지,POS,Medium,Judgment,POS
보장,POS,Medium,Judgment,POS
보탬,NEG,High,Judgment,NEG
보탬이되,NEG,High,Judgment,NEG
보호,POS,Medium,Judgment,POS
복수,NEG,Medium,Judgment,NEG
복습,POS,Medium,Argument,POS
복습하며,POS,Medium,Argument,POS
복원,POS,Medium,Judgment,POS
복잡,NEUT,Medium,Judgment,NEUT
복잡하,POS,Medium,Judgment,POS
복잡하게,NEUT,Medium,Judgment,NEUT
복잡한,POS,Medium,Judgment,POS
본,NEG,High,Argument,POS
본격,POS,Medium,Judgment,POS
봉건,POS,Medium,Judgment,POS
봉건시대,POS,Medium,Judgment,POS
봉사자,POS,High,Judgment,POS
봉양,POS,High,Judgment,POS
봉투,NEG,High,Argument,POS
부,NEG,Medium,Judgment,NEG
부가,POS,Medium,Judgment,POS
부가가치,POS,Medium,Judgment,POS
부각,NEG,High,Judgment,NEG
부끄럽,NEG,High,Emotion,NEUT
부담,NEG,Medium,Judgment,NEG
부대,POS,Medium,Judgment,POS
부드럽,POS,Medium,Judgment,POS
부럽,POS,Medium,Judgment,POS
부르,POS,Low,Argument,POS
부르트,POS,Medium,Argument,POS
부모,NEG,Medium,Judgment,NEG
부부,NEG,Medium,Argument,POS
부분,POS,Low,Argument,POS
부상,NEG,Medium,Judgment,NEG
부수,COMP,Medium,Argument,POS
부실,NEG,Medium,Judgment,NEG
부위,POS,Low,Argument,POS
부재,NEG,Medium,Judgment,NEG
부정,NEG,High,Judgment,NEG
부조리,NEG,Medium,Judgment,NEG
부족,NEG,Medium,Judgment,NEG
부족하,NEG,Medium,Judgment,NEG
부족한,NEG,Medium,Argument,POS
부지런,POS,Medium,Judgment,POS
부지런하,POS,Medium,Judgment,POS
부진,NEG,Medium,Judgment,NEUT
부쩍,POS,Medium,Judgment,POS
부채,POS,Medium,Judgment,POS
부채질,POS,Medium,Intention,POS
부탁,POS,Medium,Argument,POS
부터,POS,Medium,Argument,POS
부터가,COMP,Medium,Judgment,POS
부턴,POS,Medium,Argument,POS
부터의,POS,Medium,Argument,POS
부합,POS,Medium,Judgment,POS
북,NEUT,Low,Judgment,POS
북한,POS,Medium,Argument,POS
분,POS,Medium,Judgment,POS
분들,NEG,Medium,Argument,POS
분노,NEG,Medium,Emotion,NEG
분단,POS,Low,Argument,POS
분류,NEG,High,Agreement,NEG
분명,NEG,High,Judgment,NEG
분명하,NEG,High,Judgment,NEG
분명하지,NEG,Medium,Judgment,NEG
분석,NEUT,Medium,Judgment,POS
분야,POS,Medium,Argument,POS
분열,NEG,Medium,Judgment,NEG
분위기,POS,Medium,Judgment,POS
분자,NEG,Medium,Judgment,NEG
분쟁,NEG,High,Judgment,NEG
불,POS,Medium,Judgment,POS
불빛,NEG,Medium,Judgment,NEG
불가능,POS,Medium,Judgment,POS
불가능하,POS,Medium,Judgment,POS
불명예,NEG,Medium,Judgment,NEG
불가,NEG,Medium,Judgment,NEG
불감증,NEG,Medium,Judgment,NEG
불결,NEG,Medium,Judgment,NEG
불과,NEG,High,Judgment,NEG
